date,product_id,product_name,brand_name,original_price,final_price,discount_rate,trending,sold_count,viewing,purchasing,review_count,review_score,product_url,image_url,rank
202411290537,4475742,크리에이터 LD 다운 푸퍼 자켓 블랙,엘무드,328000,196800,40,0,,60,0,7,100.0,https://www.musinsa.com/products/4475742,https://image.msscdn.net/images/goods_img/20240930/4475742/4475742_17278411728926_500.jpg,54
202411290537,4356158,시그니처 스웨이드 타스만 슬리퍼 (타스만) W- 샌 /다크체리 / 5955SNDD,어그,178000,178000,0,0,,251,0,33,98.0,https://www.musinsa.com/products/4356158,https://image.msscdn.net/images/goods_img/20240822/4356158/4356158_17247478055531_500.jpg,55
202411290537,4318146,미니 마테라쎄 나파 가죽 숄더백 - 블랙 / 5BP065N88F0002,미우미우,2850000,1959990,31,0,,0,0,2,100.0,https://www.musinsa.com/products/4318146,https://image.msscdn.net/images/goods_img/20240812/4318146/4318146_17247439066489_500.jpg,56
202411290537,4531315,랜더 패딩 부츠 V2 (S24WUFBS70) Black,스노우피크 어패럴,199000,189050,5,0,,188,0,9,100.0,https://www.musinsa.com/products/4531315,https://image.msscdn.net/images/goods_img/20241017/4531315/4531315_17327684835543_500.jpg,57
202411290537,4492190,클래식 어그 부츠 COOSAC025,커스텀어클락,69000,32400,53,0,,341,58,10,98.0,https://www.musinsa.com/products/4492190,https://image.msscdn.net/images/goods_img/20241007/4492190/4492190_17326141300373_500.jpg,58
202411290537,4297621,데일리 푸퍼 칼라리스 패딩 재킷 [블랙],무신사 스탠다드,59900,35890,40,0,1400.0,263,41,104,98.0,https://www.musinsa.com/products/4297621,https://image.msscdn.net/images/goods_img/20240805/4297621/4297621_17286226739350_500.jpg,59
202411290537,4548931,NJ1DQ85K 화이트라벨 여성 노벨티 눕시 RDS 다운 자켓_WHITE,노스페이스,368000,368000,0,0,,151,0,7,98.0,https://www.musinsa.com/products/4548931,https://image.msscdn.net/images/goods_img/20241023/4548931/4548931_17316344320696_500.jpg,60
202411290537,4287472,NS93Q61A 눕시 뮬_BLACK,노스페이스,89000,75640,15,0,2300.0,404,32,145,98.0,https://www.musinsa.com/products/4287472,https://image.msscdn.net/images/goods_img/20240801/4287472/4287472_17301663336891_500.jpg,61
202411290537,4421919,XT-패스웨이 2 무신사 에디션 - 브라운:블랙:블랙 / L47788000,살로몬,195000,175990,10,0,,293,0,18,100.0,https://www.musinsa.com/products/4421919,https://image.msscdn.net/images/goods_img/20240909/4421919/4421919_17290460603834_500.jpg,62
202411290537,4454885,에센셜 시티 크롭 패딩 점퍼_4COLORS,시티브리즈 우먼,169000,59150,65,0,1200.0,816,38,29,98.0,https://www.musinsa.com/products/4454885,https://image.msscdn.net/images/goods_img/20240923/4454885/4454885_17319110991538_500.jpg,63
202411290537,4457974,우먼 크롭 숏 다운 블랙,리,219000,175000,20,0,1000.0,123,0,126,98.0,https://www.musinsa.com/products/4457974,https://image.msscdn.net/images/goods_img/20240924/4457974/4457974_17297326437138_500.jpg,64
202411290537,4424968,오버사이즈 라인 무스탕 자켓 [BLACK],드로우핏,209000,135850,35,0,1000.0,210,0,58,96.0,https://www.musinsa.com/products/4424968,https://image.msscdn.net/images/goods_img/20240910/4424968/4424968_17261323393607_500.jpg,65
202411290537,4457231,NEW ORIGINAL WINTER FUR MULES - 7 colors,락피쉬웨더웨어,66000,49500,25,0,5700.0,1000,78,208,96.0,https://www.musinsa.com/products/4457231,https://image.msscdn.net/images/goods_img/20240924/4457231/4457231_17273132962054_500.jpg,66
202411290537,4397034,GNRL 에센셜 가디건 [2PACK] / WBD3L04503,제너럴아이디어,170000,52800,69,0,1800.0,232,36,236,98.0,https://www.musinsa.com/products/4397034,https://image.msscdn.net/images/goods_img/20240903/4397034/4397034_17253315182425_500.jpg,67
202411290537,4293032,TCM starfish chino pants (black),더콜디스트모먼트,109000,92650,15,0,3100.0,162,0,347,98.0,https://www.musinsa.com/products/4293032,https://image.msscdn.net/images/goods_img/20240802/4293032/4293032_17231900851488_500.jpg,68
202411290537,4572582,24FW 폭스퍼 야상 롱 구스다운 코트,더엣지,319000,257000,19,0,,166,0,2,100.0,https://www.musinsa.com/products/4572582,https://image.msscdn.net/images/goods_img/20241030/4572582/4572582_17302622680075_500.jpg,69
202411290537,4422025,팔레르모 OG - 레드:웜화이트 / 383011-13,푸마,149000,81990,45,0,1800.0,158,0,101,98.0,https://www.musinsa.com/products/4422025,https://image.msscdn.net/images/goods_img/20240909/4422025/4422025_17261165172266_500.jpg,70
202411290537,4469328,24FW RDS 씨빅 오리진 숏 푸퍼 블랙,커버낫,219000,171900,22,0,1300.0,176,0,49,96.0,https://www.musinsa.com/products/4469328,https://image.msscdn.net/images/goods_img/20240926/4469328/4469328_17274089621179_500.jpg,71
202411290537,4280400,DIVISION HOODED DUCK DOWN - GLOSSY BLACK,노매뉴얼,229000,155720,32,0,,223,0,11,96.0,https://www.musinsa.com/products/4280400,https://image.msscdn.net/images/goods_img/20240729/4280400/4280400_17231671740024_500.jpg,72
202411290537,4374891,UNIFORM Field Boots Beige,로스트가든,255000,153000,40,0,,150,0,189,98.0,https://www.musinsa.com/products/4374891,https://image.msscdn.net/images/goods_img/20240827/4374891/4374891_17268131370968_500.jpg,73
202411290537,4444583,팔레르모 빈티지 -카라멜라떼-바닐라 / 396841-02,푸마,119000,59990,50,0,1800.0,276,31,85,98.0,https://www.musinsa.com/products/4444583,https://image.msscdn.net/images/goods_img/20240919/4444583/4444583_17271432837274_500.jpg,74
202411290537,4322112,남성 마이크로 스트레치 로우라이즈 트렁크 3PK_NB2569Q7E,캘빈클라인 언더웨어,89000,43200,51,0,,195,38,55,96.0,https://www.musinsa.com/products/4322112,https://image.msscdn.net/images/goods_img/20240812/4322112/4322112_17268074377620_500.jpg,75
202411290537,4548969,NJ1DQ86J 화이트라벨 여성 노벨티 눕시 디테쳐블 다운 자켓 (RDS)_BLACK,노스페이스,408000,408000,0,0,,108,0,4,100.0,https://www.musinsa.com/products/4548969,https://image.msscdn.net/images/goods_img/20241023/4548969/4548969_17326088948671_500.jpg,76
202411290537,4593751,TNT X TIMBERLAND 헤리티지 집업 스웨트 셔츠,팀버랜드,158000,158000,0,0,,124,0,0,0.0,https://www.musinsa.com/products/4593751,https://image.msscdn.net/images/goods_img/20241106/4593751/4593751_17313061078144_500.jpg,77
202411290537,4518081,NJ1DQ52A 남성 펠릭스 RDS 다운 자켓_BLACK,노스페이스,439000,395090,10,0,,82,0,28,98.0,https://www.musinsa.com/products/4518081,https://image.msscdn.net/images/goods_img/20241015/4518081/4518081_17325991631767_500.jpg,78
202411290537,4313141,남녀공용 CKJ 모노그램 엠브로이더리 볼캡 4G5040GUB1,캘빈클라인 진,69000,32090,53,0,,37,46,17,98.0,https://www.musinsa.com/products/4313141,https://image.msscdn.net/images/goods_img/20240809/4313141/4313141_17285243407314_500.jpg,79
202411290537,4474775,[Fly Fishing Club] Waxed ripstop down parka_AZUCW24200NYX,헨리코튼,870000,783000,10,0,,79,0,16,100.0,https://www.musinsa.com/products/4474775,https://image.msscdn.net/images/goods_img/20240930/4474775/4474775_17276568732828_500.jpg,80
202411290537,4410068,NJ1DQ79A 슈퍼플렉스 눕시 다운 자켓 (RDS)_BLACK,노스페이스,429000,386100,10,0,,115,0,37,98.0,https://www.musinsa.com/products/4410068,https://image.msscdn.net/images/goods_img/20240905/4410068/4410068_17255188788014_500.jpg,81
202411290537,4470740,예티 푸퍼 덕다운 패딩 : 4컬러,인템포무드,254000,152400,40,0,,421,0,58,96.0,https://www.musinsa.com/products/4470740,https://image.msscdn.net/images/goods_img/20240927/4470740/4470740_17328399827267_500.jpg,82
202411290537,4293047,TCM starfish chino pants (brown),더콜디스트모먼트,109000,92650,15,0,3800.0,216,0,391,96.0,https://www.musinsa.com/products/4293047,https://image.msscdn.net/images/goods_img/20240802/4293047/4293047_17231900499261_500.jpg,83
202411290537,4626193,X TC 874 데님 팬츠 - Blue,디키즈,506000,506000,0,0,,16,0,0,0.0,https://www.musinsa.com/products/4626193,https://image.msscdn.net/images/goods_img/20241120/4626193/4626193_17321736830673_500.jpg,84
202411290537,4312154,에센셜 라운드 니트 가디건_7COLOR,라퍼지스토어,53400,35900,33,1,,230,35,1008,98.0,https://www.musinsa.com/products/4312154,https://image.msscdn.net/images/goods_img/20240808/4312154/4312154_17261879594442_500.jpg,85
202411290537,4546104,P-6000 M - 메탈릭 실버:세일:블랙:메탈릭 실버 / CN0149-001,나이키,129000,129000,0,1,,83,0,82,98.0,https://www.musinsa.com/products/4546104,https://image.msscdn.net/images/goods_img/20241023/4546104/4546104_17302454167050_500.jpg,86
202411290537,4550090,WINTER FUR SLIPPERS - 4 colors,락피쉬웨더웨어,45000,33900,25,0,3000.0,492,68,113,96.0,https://www.musinsa.com/products/4550090,https://image.msscdn.net/images/goods_img/20241023/4550090/4550090_17303644558643_500.jpg,87
202411290537,4284490,덩크 로우 W - 블랙:화이트 / DD1503-101,나이키,139000,111200,20,0,,21,0,152,98.0,https://www.musinsa.com/products/4284490,https://image.msscdn.net/images/goods_img/20240731/4284490/4284490_17228218815480_500.jpg,88
202411290537,4507188,시티캠퍼 유틸리티 후드 다운 자켓 (S24WMGDJ68) Black,스노우피크 어패럴,439000,369000,16,0,,137,0,12,96.0,https://www.musinsa.com/products/4507188,https://image.msscdn.net/images/goods_img/20241011/4507188/4507188_17286158543141_500.jpg,89
