productId,productName,keywords
1336836,(Renew Ver.) 루즈핏 스웨트 셔츠 ( 9Color ) ( 기모선택 ),"['루즈핏', '스웨트', '셔츠', '기모선택']"
1354129,5IN OG - 오리지널 독일군 스니커즈,"['OG', '오리지널', '독일군', '스니커즈']"
1370101,Wide String Cargo Slacks Pants - Black,"['Wide', 'String', 'Cargo', 'Slacks', 'Pants', 'Black']"
1403480,Crude wide fit jeans [5colors],"['Crude', 'wide', 'fit', 'jeans']"
1470186,어센틱 플랫폼 2.0 - 블랙 / VN0A3AV8BLK1,"['어센틱', '플랫폼', '블랙']"
1477278,Minimal wide jeans - 로우 블랙진,"['Minimal', 'wide', 'jeans', '로우', '블랙진']"
1498105,커스텀핏 데님 셔츠 - 블루,"['커스텀핏', '데님', '셔츠', '블루']"
1535332,[DIVO] RDS 유틸리티 덕다운 푸파 숏패딩_라이트베이지,"['RDS', '유틸리티', '덕다운', '푸파', '숏패딩', '라이트베이지']"
1535333,[DIVO] RDS 유틸리티 덕다운 푸파 숏패딩_4color,"['RDS', '유틸리티', '덕다운', '푸파']"
1535333,[DIVO] RDS 유틸리티 덕다운 푸파 숏패딩_블랙,"['RDS', '유틸리티', '덕다운', '푸파', '숏패딩', '블랙']"
1535337,[DIVO] RDS 유틸리티 덕다운 푸파 숏패딩_쿨그레이,"['RDS', '유틸리티', '덕다운', '푸파', '숏패딩', '쿨그레이']"
1539383,솔리드 스웨이드 무톤 자켓 (블랙),"['솔리드', '스웨이드', '무톤', '자켓', '블랙']"
1548435,탑필 울 라운드 니트 (블랙),"['탑필', '울', '라운드', '니트', '블랙']"
1551839,Deep One Tuck Sweat Pants [Black],"['Deep', 'One', 'Tuck', 'Sweat', 'Pants']"
1551840,Deep One Tuck Sweat Pants [Grey],"['Deep', 'One', 'Tuck', 'Sweat', 'Pants']"
1552753,1967 JET BLACK JEANS [WIDE STRAIGHT],"['JET', 'BLACK', 'JEANS']"
1555407,1968 HIMALAYA JEANS [WIDE STRAIGHT],"['HIMALAYA', 'JEANS']"
1558197,릴렉스드 베이식 블레이저 [블랙],"['릴렉스드', '베이식', '블레이저', '블랙']"
1558847,[리뉴얼] 하프 터틀넥 니트 세트,"['리뉴얼', '하프', '터틀넥', '니트', '세트']"
1568047,[핏더사이즈X슈펜] Seku-shi(세쿠시) 첼시 부읏츠  BYTM20W12,"['핏더사이즈X슈펜', 'Seku', 'shi', '세쿠시', '첼시', '부읏츠']"
1568057,사계절 스트링 트레이닝팬츠 (그레이),"['사계절', '스트링', '트레이닝팬츠', '그레이']"
1573215,Turn me On - MOD7w,"['Turn', 'me', 'On']"
1574264,시티 스트라이프 오버 셔츠(시티블랙),"['시티', '스트라이프', '오버', '셔츠', '시티블랙']"
1575838,슈퍼 와이드 히든 밴딩 슬랙스[블랙],"['슈퍼', '와이드', '히든', '밴딩', '슬랙스', '블랙']"
1576700,오버핏 비건레더 싱글 자켓,"['오버핏', '비건레더', '싱글', '자켓']"
1581261,우먼즈 와이드 코듀로이 팬츠 [블랙],"['우먼즈', '와이드', '코듀로이', '팬츠', '블랙']"
1581262,우먼즈 와이드 코듀로이 팬츠 [크림],"['우먼즈', '와이드', '코듀로이', '팬츠', '크림']"
1582142,에비에이터 B-3 무스탕 자켓 [블랙],"['에비에이터', '무스탕', '자켓', '블랙']"
1582356,980G 피그먼트 맨투맨-챠콜-,"['피그먼트', '맨투맨', '챠콜']"
1586586,PO HEART KNIT(SKY BLUE),"['PO', 'HEART']"
1593755,[비건 레더] 필드 자켓 블랙,"['비건', '레더', '필드', '자켓', '블랙']"
