productId,keywords
2705733,"레이어드,크루,넥,긴팔,티셔츠일반,기장,화이트"
1548435,"탑필,울,라운드,니트,블랙"
1139175,"화란,세미오버,니트,블랙"
1685307,"3팩고밀도순면기본반팔티셔츠,mats0101"
4285379,"tcm,rag,hoodie,black"
1628939,"미니멀,크루,넥,니트,블랙"
659554,"세트,하프,폴라,니트,티셔츠"
1548435,"탑필,울,라운드,니트,블랙"
3481826,"리브드,니트,후디드,집업,미디엄,그레이"
1629142,"미니멀,모크,넥,니트,블랙"
3286918,"3pack,small,regular,logo,tee,mix"
2034137,"릴렉스,핏,크루,넥,반팔,티셔츠,2팩"
3481826,"리브드,니트,후디드,집업,미디엄,그레이"
659554,"세트,하프,폴라,니트,티셔츠"
2990438,"1989,자수,후드,sthstd0025"
3452344,"세터,아플리케,리벳,후드,클래식,네이비"
3442674,"thunder,브러쉬드,니트,네이비"
1685307,"3팩고밀도순면기본반팔티셔츠,mats0101"
3833439,"캐시팝,트위드,크루넥,니트,블랙"
2184395,"마일드,보카시,크루넥,스웨터,오버핏,니트,블루"
4279994,"ag,hoodie,brown"
2705733,"레이어드,크루,넥,긴팔,티셔츠일반,기장,화이트"
3735510,"cashmere,wool,crewneck,knit,melange,grey"
3539903,"에센셜,헤어리,라운드,니트스카이블루"
4454673,"기모,레드애플,스웻셔츠오트밀"
3442674,"thunder,브러쉬드,니트,네이비"
4279994,"ag,hoodie,brown"
4328688,"헤어리,그래픽,로고,오버핏,자카드,니트,black"
2990438,"1989,자수,후드,sthstd0025"
3539903,"에센셜,헤어리,라운드,니트스카이블루"
3735510,"cashmere,wool,crewneck,knit,melange,grey"
3735510,"cashmere,wool,crewneck,knit,melange,grey"
4285379,"tcm,rag,hoodie,black"
4279994,"ag,hoodie,brown"
2034137,"릴렉스,핏,크루,넥,반팔,티셔츠,2팩"
4612418,"브러쉬드,모헤어,페어아일,니트,브라운"
3442674,"thunder,브러쉬드,니트,네이비"
4071966,"레터링,후디,블랙"
3481826,"리브드,니트,후디드,집업,미디엄,그레이"
3019653,"화란,세미오버,니트,20color,"
2990438,"1989,자수,후드,sthstd0025"
4071966,"레터링,후디,블랙"
3539903,"에센셜,헤어리,라운드,니트스카이블루"
3452344,"세터,아플리케,리벳,후드,클래식,네이비"
3539176,"워셔블,투,톤,크루넥,그래픽,니트,black"
2302738,"tag,og,hoodie,navy"
1685307,"3팩고밀도순면기본반팔티셔츠,mats0101"
4329700,"자이언트핏,럭비,저지,롱,슬리브"
4405632,"부클,빅,트위치,로고,니트,라이트,그레이"
4531158,"베티붑,오버핏,브이넥,니트레드"
4071966,"레터링,후디,블랙"
3833439,"캐시팝,트위드,크루넥,니트,블랙"
4531158,"베티붑,오버핏,브이넥,니트레드"
2734776,"heavyweight,waffle,knit,sweater,olive"
2722795,"tag,hoodie,melange,grey"
2734776,"heavyweight,waffle,knit,sweater,olive"
2970544,"피치스킨,러스티,로고,스웨트셔츠,딥블루"
4405632,"부클,빅,트위치,로고,니트,라이트,그레이"
4329700,"자이언트핏,럭비,저지,롱,슬리브"
4329700,"자이언트핏,럭비,저지,롱,슬리브"
2302738,"tag,og,hoodie,navy"
1642903,"헤비웨이트,오버사이즈,후디드,스웨트셔츠,블랙"
3452344,"세터,아플리케,리벳,후드,클래식,네이비"
3539176,"워셔블,투,톤,크루넥,그래픽,니트,black"
655833,"코튼100소프트,베이직,터틀넥,니트,9,color,cooskt006"
3458174,"공용,코튼,베이직,반팔티,3packmse5ts3001"
3019653,"화란,세미오버,니트,20color,"
4567880,"cat,jacquard,hood,zip,knit,navy"
4567880,"cat,jacquard,hood,zip,knit,navy"
655833,"코튼100소프트,베이직,터틀넥,니트,9,color,cooskt006"
1620237,"케이블니트,코튼,스웨터,블루"
